Region,climate_score
Burdekin,4.1200263232144465
Burnett Mary,4.13015334799609
Cape York,3.65
Fitzroy,4.20898199023199
Mackay Whitsunday,3.4291472868217054
Wet Tropics,3.7791961470778452
