year,mean_live
1993,26.2
1994,25.8
1995,25.4
1996,26.0
1997,24.6
1998,23.0
1999,22.5
2000,21.8
2001,21.4
2002,20.8
2003,20.2
2004,21.2
2005,22.2
2006,21.3
2007,20.5
2008,20.2
2009,20.0
2010,18.7
2011,16.2
2012,13.9
2013,15.6
2014,16.6
2015,18.4
2016,17.8
2017,17.0
2018,18.1
2019,19.6
2020,20.8
2021,26.9
2022,33.0
2023,32.2
2024,24.1
